Open,Close,High,Low,Number of Trades,Volume,Volume Weighted Average,Increase
149.47,149.46,149.47,149.42,141,11491,149.435655,1
149.44,149.4596,149.4596,149.44,53,2267,149.451686,1
149.44,149.4335,149.44,149.41,86,4117,149.42477,0
149.44,149.47,149.5,149.44,77,2242,149.476024,1
149.47,149.43,149.48,149.43,74,3012,149.444833,0
149.44,149.43,149.47,149.43,74,5138,149.451786,0
149.41,149.45,149.45,149.41,66,2983,149.436526,1
149.4466,149.42,149.4466,149.42,121,9680,149.427634,0
149.44,149.48,149.49,149.43,85,3492,149.459258,1
149.5,149.46,149.505,149.46,111,6258,149.47691,0
149.455,149.46,149.4618,149.42,107,5028,149.440048,1
149.46,149.42,149.46,149.42,59,2650,149.443131,1
149.42,149.36,149.42,149.36,153,12611,149.39377,0
149.34,149.395,149.395,149.32,117,5224,149.34152,1
149.4,149.338,149.4,149.325,99,4328,149.358983,0
149.33,149.38,149.385,149.32,98,5243,149.355323,0
149.3685,149.39,149.39,149.3685,74,2939,149.378363,0
149.4,149.4,149.4053,149.3845,86,2929,149.393957,1
149.4,149.36,149.4,149.34,115,4926,149.35931,0
149.35,149.4,149.4,149.35,99,4839,149.373405,0
149.41,149.4,149.42,149.39,117,6602,149.399974,1
149.38,149.37,149.395,149.37,80,3082,149.383445,1
149.36,149.36,149.37,149.355,57,2614,149.361177,1
149.36,149.35,149.36,149.34,116,5560,149.354057,0
149.37,149.39,149.39,149.37,98,4064,149.378034,0
149.37,149.39,149.39,149.35,86,3584,149.368163,0
149.4,149.3941,149.4098,149.379,66,5435,149.396525,1
149.41,149.36,149.41,149.354,86,5027,149.373082,0
149.3635,149.36,149.3635,149.34,59,2606,149.354031,0
149.35,149.36,149.38,149.34,154,14164,149.359882,1
149.36,149.355,149.37,149.355,63,2663,149.36307,1
149.34,149.32,149.35,149.32,120,7440,149.338137,1
149.3156,149.29,149.32,149.29,143,7778,149.301781,0
149.2855,149.3,149.3,149.2855,57,3864,149.299008,1
149.3,149.23,149.3,149.23,98,4507,149.268763,0
149.24,149.25,149.25,149.22,121,5733,149.244714,0
149.255,149.29,149.29,149.255,81,3227,149.277601,0
149.305,149.315,149.33,149.305,81,3573,149.317825,0
149.31,149.32,149.33,149.305,74,4314,149.316843,1
149.33,149.281,149.33,149.281,96,5441,149.301543,0
149.28,149.2998,149.3,149.28,44,1637,149.292231,1
149.29,149.2648,149.29,149.2648,55,3586,149.278959,1
149.2693,149.25,149.28,149.24,94,3541,149.261111,0
149.27,149.25,149.27,149.25,44,1805,149.256207,1
149.25,149.24,149.26,149.24,77,3075,149.249568,1
149.25,149.2,149.25,149.195,154,8841,149.225041,1
149.19,149.14,149.195,149.13,216,16720,149.163887,0
149.14,149.195,149.21,149.14,184,11458,149.167001,0
149.2,149.24,149.24,149.1726,162,8871,149.202633,0
149.23,149.25,149.25,149.19,188,20368,149.211953,0
149.25,149.25,149.27,149.2429,99,6474,149.260723,1
149.24,149.164,149.25,149.164,69,3328,149.20618,1
149.17,149.12,149.17,149.1101,183,12216,149.131456,1
149.12,149.11,149.12,149.095,114,6523,149.105869,1
149.1014,149.065,149.12,149.06,151,8787,149.098009,0
149.07,149.0813,149.1,149.07,88,6549,149.08948,0
149.08,149.1,149.1,149.08,67,2890,149.087272,0
149.08,149.115,149.115,149.075,108,5797,149.096424,0
149.1199,149.12,149.135,149.11,109,4418,149.124078,0
149.12,149.13,149.16,149.12,87,4549,149.13096,0
149.14,149.15,149.16,149.13,76,3157,149.144037,0
149.155,149.16,149.16,149.13,58,2427,149.147117,0
149.155,149.1825,149.185,149.15,81,4594,149.165634,0
149.19,149.22,149.2301,149.19,95,4589,149.216891,0
149.22,149.26,149.27,149.22,106,7016,149.243298,1
149.26,149.25,149.26,149.24,74,3030,149.249602,1
149.25,149.22,149.26,149.21,85,4129,149.234751,1
149.23,149.18,149.23,149.18,66,2306,149.194226,1
149.18,149.14,149.18,149.14,56,2031,149.15683,1
149.1,149.075,149.1,149.07,115,6474,149.097954,0
149.08,149.1,149.12,149.08,148,6183,149.099492,0
149.09,149.1,149.1,149.09,75,2487,149.097709,0
149.1,149.1,149.11,149.09,62,2660,149.100771,0
149.1001,149.13,149.13,149.1,85,4798,149.10954,0
149.12,149.15,149.16,149.12,111,6597,149.138203,1
149.15,149.14,149.15,149.1373,68,4064,149.140937,1
149.15,149.1164,149.159,149.1164,95,3808,149.142271,1
149.11,149.085,149.115,149.085,118,5500,149.107533,0
149.09,149.1001,149.11,149.0833,45,2390,149.100391,1
149.1001,149.0801,149.1001,149.0801,58,1874,149.095676,1
149.06,149.059,149.06,149.0571,65,2301,149.059984,1
149.055,149.05,149.055,149.05,25,853,149.052822,1
149.05,149.0454,149.06,149.04,146,11114,149.049994,1
149.03,148.9799,149.03,148.96,299,17811,148.995725,1
148.96,148.97,148.98,148.96,75,3919,148.970097,1
148.96,148.96,148.985,148.95,155,10674,148.970481,1
148.95,148.927,148.95,148.92,63,2719,148.935258,0
148.925,148.93,148.93,148.895,127,6873,148.907454,0
148.92,148.935,148.94,148.92,82,3698,148.929483,0
148.94,148.9672,148.9672,148.94,64,3609,148.958931,0
148.965,148.9847,148.999,148.965,65,3000,148.981019,1
148.98,148.9416,148.98,148.94,94,5673,148.952821,1
148.935,148.94,148.945,148.93,66,2590,148.938025,0
148.92,148.94,148.949,148.9122,74,3658,148.928509,1
148.92,148.87,148.92,148.87,103,5207,148.89496,1
148.86,148.74,148.86,148.7302,310,17246,148.788961,0
148.74,148.74,148.75,148.71,210,11911,148.733079,0
148.745,148.7619,148.79,148.745,100,4530,148.767107,1
148.768,148.7,148.77,148.69,120,5230,148.730344,0
148.6833,148.71,148.72,148.655,175,10391,148.690056,0
148.71,148.745,148.75,148.68,127,10342,148.698897,0
