770,768.89,770,768.89,173,3567,770.046106
770,771,771,770,67,1600,770.428281
771.25,771.3,771.3,771.25,34,638,771.419655
771.35,771.25,771.35,771.25,31,838,771.301874
771.2,771,771.2,771,29,829,771.118323
771,770.8,771,770.8,51,1937,771.018193
771.18,771.01,771.18,771.01,22,613,771.044715
771,771,771,771,26,445,771.175281
770.99,770.99,770.99,770.99,12,165,770.966788
771,771,771,771,67,1418,770.954944
772.64,772.64,772.64,772.64,21,632,772.536994
771,771,771,771,56,520,771.015808
771.58,771.63,771.63,771.58,31,669,771.643797
772.31,772.5,772.5,772.29,39,1161,772.280594
772.5,772.5,772.5,772.5,24,522,772.208238
772.5,772.49,772.5,772.49,73,2716,772.454392
772.1,772.1,772.1,772.1,12,346,772.125173
772.1,772.1,772.1,772.1,9,267,772.109176
771.8,771.8,771.8,771.8,6,157,771.801783
772.5,772.5,772.5,772.5,14,671,772.494486
772.5,772.5,772.5,772.48,8,486,772.485844
772.5,772.5,772.5,772.5,27,593,772.494992
772.99,772.99,772.99,772.99,31,777,772.814981
773.79,773.06,773.79,773.06,134,2037,773.288979
773.49,773.49,773.49,773.49,48,732,773.603197
774,774,774,773.06,56,1749,773.688079
773.98,773.99,774,773.98,39,1058,774.020756
774.5,774.59,774.7,774.5,45,1936,774.589318
774.7,775,775,774.7,77,3262,774.83382
774.83,774.83,774.83,774.83,26,356,774.767556
774.74,774.74,774.74,774.74,8,127,774.736693
774.16,774.4,774.4,774.16,45,875,774.384994
774.93,774.79,774.94,774.79,18,858,774.892599
774.88,775.45,775.45,774.84,91,2085,775.003472
775.79,776.01,776.01,775.79,80,2180,775.885665
776.5,776.55,776.63,776.5,38,1339,776.522913
777.35,777,778,777,126,3066,777.552358
777.4,777.4,777.4,777.4,44,780,777.266013
777.5,777.5,777.5,777.5,76,1799,777.561823
778,778,778,778,53,958,778.223956
778.5,779,779,778.48,74,2527,778.799652
779.22,779.68,779.68,779.22,61,1308,779.378815
779.49,778.65,779.5,778.65,92,9959,779.390071
778.52,778.75,778.75,778.3,72,1966,778.49324
778.83,780,780,778.83,133,3114,779.445922
780,780.5,780.88,780,120,4059,780.45864
780,780,780,780,44,749,780.013738
779.52,778.82,779.52,778.82,65,1624,779.012026
779.5,779.5,779.5,779.5,21,320,779.493625
779.02,779.5,779.5,779.02,83,1671,779.231317
